id,Annee,v1,v2,lat_v1,lng_v1,lat_v2,lng_v2,Dessertes,Pax_Total,Pax_reg,Pax_Non_rég,Fret_Total
457,2014,AJACCIO,BALE-MULHOUSE,41.92,8.80,47.59,7.53,206,27494,27355,139,0
579,2019,AJACCIO,BALE-MULHOUSE,41.92,8.80,47.59,7.53,382,57525,57466,59,0
632,2019,AJACCIO,BEAUVAIS,41.92,8.80,49.45,2.11,52,7010,7010,0,0
360,2009,AJACCIO,BORDEAUX,41.92,8.80,44.83,-0.80,149,11555,6062,5493,
447,2014,AJACCIO,BORDEAUX,41.92,8.80,44.83,-0.80,539,45132,44835,297,0
577,2019,AJACCIO,BORDEAUX,41.92,8.80,44.83,-0.80,532,74937,74937,0,0
477,2014,AJACCIO,BREST,41.92,8.80,48.45,-4.42,148,13109,13055,54,0
623,2019,AJACCIO,BREST,41.92,8.80,48.45,-4.42,118,15487,15294,193,0
482,2014,AJACCIO,CAEN,41.92,8.80,49.17,-0.45,105,10599,10501,98,0
598,2019,AJACCIO,CAEN,41.92,8.80,49.17,-0.45,250,31777,31713,64,0
358,2009,AJACCIO,LILLE,41.92,8.80,50.56,3.09,144,12004,11406,598,
461,2014,AJACCIO,LILLE,41.92,8.80,50.56,3.09,236,24213,23618,595,0
590,2019,AJACCIO,LILLE,41.92,8.80,50.56,3.09,327,40237,39981,256,0
85,1999,AJACCIO,LYON,41.92,8.80,45.73,5.08,451,35897,23976,11921,1
215,2004,AJACCIO,LYON,41.92,8.80,45.73,5.08,1001,54005,50072,3933,1.0
345,2009,AJACCIO,LYON,41.92,8.80,45.73,5.08,552,27387,22963,4424,
443,2014,AJACCIO,LYON,41.92,8.80,45.73,5.08,464,50479,50219,260,0
565,2019,AJACCIO,LYON,41.92,8.80,45.73,5.08,862,101967,101932,35,1
48,1999,AJACCIO,MARSEILLE,41.92,8.80,43.44,5.21,4167,247172,246416,756,1897.9
184,2004,AJACCIO,MARSEILLE,41.92,8.80,43.44,5.21,3723,253134,251782,1352,3990
293,2009,AJACCIO,MARSEILLE,41.92,8.80,43.44,5.21,3925,264624,263832,792,3693.1
404,2014,AJACCIO,MARSEILLE,41.92,8.80,43.44,5.21,3341,242534,242146,388,4755
541,2019,AJACCIO,MARSEILLE,41.92,8.80,43.44,5.21,3323,253218,252282,936,7026
102,1999,AJACCIO,MONTPELLIER,41.92,8.80,43.58,3.96,1504,27238,27208,30,1261.4
496,2014,AJACCIO,MONTPELLIER,41.92,8.80,43.58,3.96,96,5700,5405,295,0
625,2019,AJACCIO,MONTPELLIER,41.92,8.80,43.58,3.96,94,13442,13442,0,0
90,1999,AJACCIO,NANTES,41.92,8.80,47.16,-1.61,269,33855,,33855,0
239,2004,AJACCIO,NANTES,41.92,8.80,47.16,-1.61,210,21186,16271,4915,0.1
349,2009,AJACCIO,NANTES,41.92,8.80,47.16,-1.61,264,24622,8519,16103,4.5
430,2014,AJACCIO,NANTES,41.92,8.80,47.16,-1.61,695,73072,73008,64,0
559,2019,AJACCIO,NANTES,41.92,8.80,47.16,-1.61,794,111333,110837,496,0
54,1999,AJACCIO,NICE,41.92,8.80,43.67,7.21,3215,148608,147797,811,172.6
192,2004,AJACCIO,NICE,41.92,8.80,43.67,7.21,2598,120075,119534,541,118.9
299,2009,AJACCIO,NICE,41.92,8.80,43.67,7.21,2727,116506,116385,121,11.3
421,2014,AJACCIO,NICE,41.92,8.80,43.67,7.21,2407,108105,107999,106,61
561,2019,AJACCIO,NICE,41.92,8.80,43.67,7.21,1952,107723,107507,216,17
475,2014,AJACCIO,STRASBOURG,41.92,8.80,48.54,7.63,170,13838,13838,0,0
599,2019,AJACCIO,STRASBOURG,41.92,8.80,48.54,7.63,270,31668,31668,0,0
121,1999,AJACCIO,TOULOUSE,41.92,8.80,43.63,1.37,189,16750,,16750,0
257,2004,AJACCIO,TOULOUSE,41.92,8.80,43.63,1.37,153,10665,6573,4092,0.5
363,2009,AJACCIO,TOULOUSE,41.92,8.80,43.63,1.37,135,10282,5642,4640,
449,2014,AJACCIO,TOULOUSE,41.92,8.80,43.63,1.37,479,39950,39888,62,0
587,2019,AJACCIO,TOULOUSE,41.92,8.80,43.63,1.37,438,48365,48359,6,0
127,1999,ANGERS,CLERMONT-FERRAND,47.56,-0.31,45.79,3.16,1007,15504,15504,,3
131,1999,ANGOULEME,CLERMONT-FERRAND,45.73,0.22,45.79,3.16,940,14181,14181,,2
354,2009,BALE-MULHOUSE,BORDEAUX,47.59,7.53,44.83,-0.80,133,16109,16013,96,
123,1999,BALE-MULHOUSE,BORDEAUX,47.59,7.53,44.83,-0.80,705,16438,16398,40,14
335,2009,BALE-MULHOUSE,LYON,47.59,7.53,45.73,5.08,1465,36978,36978,0,0.2
344,2009,BALE-MULHOUSE,MARSEILLE,47.59,7.53,43.44,5.21,1048,27788,27717,71,
313,2009,BALE-MULHOUSE,NICE,47.59,7.53,43.67,7.21,733,90783,90542,241,
106,1999,BALE-MULHOUSE,CLERMONT-FERRAND,47.59,7.53,45.79,3.16,1068,23062,23055,7,2
256,2004,BALE-MULHOUSE,CLERMONT-FERRAND,47.59,7.53,45.79,3.16,740,12237,12237,0,1.0
119,1999,BALE-MULHOUSE,LILLE,47.59,7.53,50.56,3.09,1161,17747,17598,149,0
103,1999,BALE-MULHOUSE,LYON,47.59,7.53,45.73,5.08,2411,27046,27009,37,1
224,2004,BALE-MULHOUSE,LYON,47.59,7.53,45.73,5.08,1839,38061,37838,223,2.0
141,1999,BALE-MULHOUSE,MARSEILLE,47.59,7.53,43.44,5.21,905,11647,11430,217,8
118,1999,BALE-MULHOUSE,NICE,47.59,7.53,43.67,7.21,967,18250,18138,112,6
247,2004,BALE-MULHOUSE,NICE,47.59,7.53,43.67,7.21,743,16426,16396,30,0.1
254,2004,BALE-MULHOUSE,RENNES,47.59,7.53,48.07,-1.73,831,13638,13612,26,1.9
